Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Rep.,Chad,Comoros,Congo,Cote d'Ivoire,Dem. Rep. of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Fmr Sudan,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Togo,Tunisia,Uganda,United Rep. of Tanzania,Zambia,Zimbabwe,Year_Total,Percentage Change
2002,0.351904803,0.061310901,0.420854521,0.018977533999999997,0.005817989,0.00222706,0.0018393689999999998,0.043971021,0.0006874680000000001,0.0017119919999999999,0.0007635770000000001,0.03960859,0.21971985800000002,0.018987898000000003,0.049810339,0.8529233749999999,0.0032876809999999998,0.006024624,0.0047262300000000005,0.096426038,0.392386991,0.004704333,0.0818991,0.182305094,0.043376727000000004,0.004503979,0.180561523,0.024507669,0.030105908000000004,0.11153145900000001,0.040203994,0.006517919999999999,0.021620799,0.0519972,0.090001553,0.451261406,0.025931947,0.020182178000000002,0.014742545999999999,1.047146531,0.0038615769999999997,0.05767978000000001,0.0014627490000000002,0.014409759,0.001832705,1.3106345410000002,0.0,0.0,0.13847218600000002,0.144113413,0.028059393000000002,0.121419167,0.037190958,0.032160853,6.918366806000002,16.08432742189112
2003,0.6459374330000001,0.145791215,0.47106151100000004,0.022769682,0.01171017,0.003444756,0.0025960970000000003,0.064934989,0.002127308,0.0016796089999999999,0.0006939250000000001,0.05989262900000001,0.22822048900000003,0.025417209,0.06585792,0.9367583970000001,0.005048022000000001,0.005466521,0.006683382000000001,0.15274725800000002,0.478418104,0.00888997,0.11596783799999999,0.321786458,0.07328563,0.012350232000000001,0.24171230600000002,0.024882872,0.026188856000000003,0.174735322,0.111694781,0.010774716,0.035203987,0.056485774,0.107365924,0.6957859639999999,0.045028314,0.037624411,0.019335750000000002,1.7859727129999998,0.0035326739999999995,0.072850864,0.0017865259999999999,0.016606449,0.0039031029999999998,2.029363726,0.0,0.0,0.26254028799999996,0.18384435,0.051388917,0.191471331,0.034875032,0.030265722,10.124757426,46.346062732887106
2004,0.9805193449999999,0.19351790500000002,0.57726234,0.049541361000000006,0.012335119,0.004814095,0.002746211,0.100016605,0.003323713,0.005939125,0.001295299,0.09303184499999999,0.123013857,0.036985968,0.072219817,1.388434677,0.010124623,0.007541552000000001,0.011490917,0.194054868,0.81588702,0.014158358999999999,0.124229778,0.510399658,0.09301701,0.005994304000000001,0.34879389600000005,0.047453619,0.181807571,0.25498476200000003,0.152079268,0.018764543,0.058767658,0.064332938,0.15119000800000001,0.943479953,0.07515431600000001,0.052539173999999994,0.024995411999999998,1.718559149,0.0051303519999999995,0.108308415,0.001782397,0.028257158,0.009522379,2.9519039350000003,0.0,0.0,0.398654101,0.245090012,0.07642706,0.21597226,0.051042489,0.113063202,13.729951397999999,35.60770713125427
2005,1.404420063,0.372793946,0.952951911,0.058513171,0.016135432999999998,0.011889091000000001,0.005187788,0.12987252100000002,0.007087933,0.014932194000000001,0.0018266349999999998,0.144707412,0.13702460400000002,0.049708841999999996,0.11145867400000001,1.9340359249999999,0.018801431,0.007828643,0.011031499,0.284001209,1.293592219,0.041277137,0.12435007000000001,0.672423503,0.14431333899999998,0.005793889,0.45691499599999996,0.055819731000000004,0.14963443999999998,0.360499079,0.182639521,0.016350954,0.065937472,0.074295916,0.17734171,1.206426345,0.091477874,0.060354113,0.03390039500000001,2.30316181,0.012009032000000001,0.133079668,0.003402626,0.030756366999999996,0.016566620999999997,3.825965079,0.0,0.0,0.53809471,0.295537058,0.07936634000000001,0.30358171800000006,0.048495053999999996,0.125369781,18.602937492,35.4916485335107
2006,1.9475144870000003,0.8941856330000001,1.452096313,0.061781657,0.019346382000000002,0.010178765000000001,0.01009409,0.19114675,0.001692692,0.014142810999999998,0.00619528,0.24147352200000002,0.22747805,0.06876535,0.15495008400000002,2.975501314,0.041107988,0.037946081,0.0072225100000000006,0.430770158,1.410328737,0.06387743,0.162438145,0.8030919200000001,0.17549104599999998,0.005677056,0.621040206,0.06442215500000001,0.52984374,0.704105006,0.22256288,0.030741469,0.074987758,0.10924006100000001,0.19775389999999998,1.569526374,0.127940363,0.133157864,0.071761552,2.852151939,0.012406055000000001,0.18726678000000002,0.005302608,0.038978595,0.027577799,5.767709102,0.0,0.0,0.7040146820000001,0.35754531000000006,0.137801795,0.38277308,0.102525357,0.136292517,26.583923198000004,42.9017498415621
2007,2.741975093,1.2345186510000001,1.975914634,0.119879176,0.043690931,0.013034353,0.016826488,0.299055977,0.008865449000000001,0.069660382,0.007698741,0.43589413600000004,0.414675453,0.094011282,0.16685880900000002,4.46809923,0.092790802,0.026934495000000003,0.013228594000000002,0.7783595240000001,1.554461271,0.10384598000000002,0.18555712800000002,1.228015647,0.264633742,0.007308823,0.9481488509999999,0.056661694,0.80306767,0.8709922689999999,0.32977988,0.042387747999999996,0.125374337,0.138599743,0.28614704700000004,2.182695252,0.16355293999999998,0.24652275699999998,0.0307354,3.799461765,0.03486573,0.33502715,0.007528877000000001,0.05859099499999999,0.026658316999999997,7.444900447,0.0,0.0,1.376504344,0.4917975110000001,0.202945426,0.6029686120000001,0.198265136,0.203346668,37.373321357,40.586177136607596
2008,3.7519099560000004,2.942469756,2.3141149260000002,0.169151779,0.0461933,0.017682014000000003,0.014953954000000002,0.379283504,0.011295053999999999,0.07992985799999999,0.025444111,0.6142809610000001,0.5315007509999999,0.234580784,0.252267597,5.874260276,0.277390904,0.028978356,0.020603929,1.2307193090000002,1.874333641,0.13960227700000002,0.17572482,1.747886207,0.334455925,0.006146998,1.249332629,0.07963913700000001,1.137053412,1.640447152,0.602593259,0.08105045300000001,0.16773249099999998,0.189093207,0.32008768800000004,2.3489260140000003,0.295994949,0.24316546600000002,0.166812989,6.7670524379999994,0.059374419,0.401551093,0.014129921,0.078770653,0.040338653,8.617621625,0.0,0.0,1.218236519,0.6968606780000001,0.230100406,0.9504389070000001,0.264347745,0.133099999,51.08901284900001,36.69915060795383
2009,4.180239032,2.385960008,1.9526622719999998,0.16539842500000002,0.042682161,0.033987913,0.035405031999999996,0.41587556400000003,0.012731811,0.148898472,0.011169017,0.366637047,0.504862516,0.321209161,0.29460183,5.107359456,0.35842382000000006,0.03947819600000001,0.018052675,1.252460488,1.705392045,0.154710196,0.16754855100000002,1.533701228,0.281384272,0.023193644,1.277439292,0.050392195,1.881496609,2.0029115190000004,0.395383093,0.065134183,0.167597063,0.241780764,0.292128949,2.129257748,0.33913381,0.264497171,0.283716982,5.4755940579999995,0.05798654699999999,0.399309146,0.015248277999999999,0.054661536,0.06730855,7.365588491,0.0,0.0,1.129801167,0.711180932,0.231172136,0.9140524830000001,0.152029661,0.15628465800000002,47.63511185299999,-6.760555358954489
2010,3.999998875,2.0038725760000005,2.273677526,0.36950302,0.047955571999999995,0.033360723,0.034335093000000004,0.540793114,0.022857138,0.30849101500000004,0.013347275,0.353709296,0.548519807,0.4734054,0.44406113,6.040984268,0.456241241,0.038799687,0.028973832,1.209615368,1.9507727339999998,0.205807427,0.18678398300000001,1.932871728,0.42134966100000004,0.0094337,1.786303416,0.059362557999999996,4.396882751000001,2.0613581050000005,0.396790704,0.080077073,0.229693202,0.28496781699999996,0.39328666900000003,2.4844717370000002,0.49639103600000006,0.22954208399999998,0.27214794200000003,6.696843552000001,0.049992756,0.49832063,0.014856001999999998,0.098352346,0.072231573,10.799862041,0.0,0.0,1.333109917,0.994893386,0.25752605800000006,1.25312661,0.30167554,0.31586280800000005,59.807449502000004,25.553288688737318
2011,4.471882142,2.784153366,2.874684516,0.616161511,0.055618683999999995,0.04254383,0.049751685,0.874108906,0.014271013,0.09480347900000001,0.008186019,0.489431142,0.540633271,0.8266846059999999,0.5088532990000001,7.283232684000001,0.266317114,0.148155974,0.030685634000000003,0.8853614460000001,1.9946398329999997,0.269914912,0.290968234,3.109948453,0.6301704250000001,0.014850937,2.368775109,0.073108508,4.966686794,0.7203791629999999,0.503376232,0.11209746899999999,0.297734843,0.386274767,0.496927164,3.042649431,0.700247026,0.282264528,0.142166981,9.205574275000002,0.06665248000000001,0.6803607110000001,0.035009605,0.22483375000000003,0.09120854900000001,13.362300051,0.0,0.0,1.831410255,1.1127270839999999,0.35938170299999994,1.653631731,0.6173350860000001,0.41027776800000004,72.919404178,21.923614508191847
2012,5.4166571690000005,4.039171270000001,2.413661597,0.182121037,0.072506291,0.046459684,0.057490473,1.064318496,0.017683658999999997,0.172778203,0.014942778,0.520991355,0.8036684080000001,0.837485569,0.9025796300000001,8.223921373000001,0.361434154,0.053531828000000004,0.028920143,1.5298696580000002,0.0,0.42737423499999994,0.257513304,4.790753288,0.753850549,0.015894649,2.788761718,0.094370992,3.4464081479999997,2.3842391550000004,0.542413969,0.249066923,0.29023211499999996,0.45540209000000004,0.6201711480000001,3.131192523,0.940887034,0.438910734,0.158352268,9.296312849,0.09010581999999999,0.793973069,0.033167167,0.24918847999999996,0.10110674,15.323311516999999,0.034311988,2.178613756,3.3831422250000003,1.39178611,0.495142823,2.089721998,0.697306484,0.43048381500000005,85.133662458,16.750353925252014
2013,6.023897368,3.964058933,2.992476675,0.148251952,0.10338736500000001,0.050962328,0.061996093999999995,1.514678715,0.009458992999999999,0.371892564,0.029860120000000004,0.779293422,0.955795339,0.948752351,1.018883781,8.362674701,0.35751724100000004,0.137956671,0.024762431,1.8684663899999998,0.0,0.432706142,0.30852102800000003,3.9460278509999998,0.907476153,0.011889575000000001,3.217480883,0.089828606,2.3357503860000004,2.834679489,0.6429614330000001,0.21379278399999999,0.274638734,0.598451302,0.648701236,3.271645442,1.199293242,0.48194062400000004,0.183940518,12.04261284,0.13410943500000003,0.9973964800000001,0.038669859,0.15256670600000002,0.133760551,16.830776066,0.075086952,2.398431681,2.4432224369999997,1.263158664,0.45221252300000003,3.14070239,0.7296924360000001,0.413825611,92.57097349299998,8.736040269228539
2014,7.395238411,5.975306809000001,3.485978743,0.176149428,0.11797193700000001,0.051602365,0.051223198,1.877424982,0.007211752000000001,0.317710145,0.040684717999999995,0.984525853,1.2200788130000002,1.362040401,1.112236176,10.460508683,0.35251532799999996,0.088144183,0.026528388,2.9223092239999997,0.0,0.43032029400000005,0.35069859800000003,4.1345664630000005,1.1014589740000003,0.017153183,4.930568708,0.08876009300000001,1.7112668590000002,2.157639,0.7526781,0.15711722900000002,0.297068628,0.7569465740000001,0.745215461,2.963005917,1.968739789,0.545724826,0.243696273,15.393564103000001,0.11521183400000001,1.650137471,0.045581781,0.163051716,0.206079161,15.699145579,0.066078709,1.9286092019999999,2.4919120450000003,1.235774285,0.486645734,3.843566338,0.7256656880000001,0.403801415,105.83283956700004,14.326160321737236
2015,7.583347042000001,3.7171458829999997,2.989072543,0.224841273,0.12383663100000002,0.040088753000000005,0.043300195,1.833294503,0.013518226000000001,0.12354994999999999,0.045703403000000004,1.03542206,1.554436952,1.408678482,1.9808155129999998,47.834307744,1.045559676,0.5372140040000001,0.030567448,13.763469363999999,0.0,0.665415087,0.330097246,5.308877832,1.277088833,0.017482677,5.914315875000001,0.08318046,1.3568803640000002,1.8920165539999998,0.865235356,0.24596197,0.27042760600000004,0.801372996,0.841102768,2.89718438,1.938023358,0.48991492400000003,0.173348405,13.701240179,0.122274281,2.1905315530000005,0.057626174,0.276560552,0.298118241,15.857921952000002,0.155445271,2.3945028230000003,2.180165797,1.237428731,0.5534001009999999,4.27886454,0.552068957,0.54332304,155.69556852799997,47.114609383066885
2016,7.647851142,1.680398624,2.039435616,0.209573218,0.14099748200000004,0.045047488000000004,0.048671438000000004,1.557030056,0.015462731,0.093572312,0.048374932,0.740629564,1.5845269510000002,0.992466991,2.148396599,10.436255851,0.14825383100000003,0.06932097,0.042424363,3.214476645,0.0,0.37718672599999997,0.315083868,4.666604087,1.144424259,0.021236460000000002,5.587646821000001,0.054701172,1.592580573,1.184612556,0.942957351,0.22823941800000003,0.366645856,0.869707175,0.758222187,3.078776968,1.3085577970000002,0.268488386,0.10076623000000001,9.713912553,0.108549722,2.1943606300000003,0.055600853,0.242117793,0.391942642,12.849507644,0.046253290999999995,2.1297300010000004,1.9192466359999998,1.295839939,0.8236822950000001,3.5668613070000004,0.48991391100000004,0.3874855,91.984609411,-40.92021354194312
2017,6.78474625,2.2574532250000003,1.9265085910000002,0.23269971,0.183049294,0.045252632,0.06923987,1.388611486,0.012962438000000001,0.115364034,0.067758298,0.497835733,1.692544965,0.969983161,2.175409974,9.485643131000002,0.16621795600000003,0.042947305,0.034227955000000004,2.6645548800000003,0.0,0.446190755,0.39865257000000004,4.824797038000001,1.2399566550000003,0.033724346,5.034650206999999,0.06130065,2.103670654,1.027969894,1.00748726,0.261944326,0.33724755800000006,0.8591543810000001,0.762149251,3.1762262409999997,1.3067461349999998,0.272141118,0.097876055,12.153161394000001,0.12866860600000002,2.040713466,0.0488242,0.242430892,0.4735004990000001,14.808766627999999,0.051942094,2.221759883,1.886345956,1.32798691,0.777367201,3.119554166,0.709467936,0.443819338,94.499205151,2.7337135593677786
2018,7.923382278,2.234927773,2.150684993,0.281472273,0.223340681,0.03690408,0.07805012600000001,1.706516747,0.018782985999999998,0.185528743,0.0791989,0.444877772,1.8901995,1.772661732,1.8716760620000001,12.020880441,0.145169551,0.04284077199999999,0.03643894,2.537682497,0.0,0.38609309,0.426524295,4.821886063,1.3533301150000001,0.029832135,5.204943662,0.06420116800000002,1.941893225,1.433045467,1.0157558130000002,0.22235294300000003,0.34561188500000006,1.039975584,0.8077769440000001,3.690127742,1.8693250879999999,0.319473094,0.114660646,13.500035393000001,0.16516975300000003,2.1452179960000004,0.061338496,0.253198462,0.637244475,16.337354355000002,0.077076432,1.8847710320000002,1.991476579,1.415923926,0.706399878,3.5905741979999997,0.9694522990000001,0.44607013,104.94932921,11.05842535109347
